job_id,stage,batch_size,block_ms_per_batch_step,calibration_multiplication_included,family,fitted_global_multiplier_count,grid,kind,max_ms_per_batch_step,median_ms_per_batch_step,min_ms_per_batch_step,parameter_count,parameter_count_convention,prior,timing_source,weights
resolution_g32__wave__coefficient,resolution_g32,1,"[0.24208665, 0.2363641, 0.23387685, 0.2377647, 0.2525199]",False,wave,0,32,physics_uncalibrated,0.2525199,0.2377647,0.23387685,,,coefficient,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
resolution_g32__wave__coefficient,resolution_g32,1,"[0.2380291, 0.2264392, 0.24304115, 0.23031595, 0.24909525]",True,wave,3,32,physics_calibrated,0.24909525,0.2380291,0.2264392,,,coefficient,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
resolution_g32__wave__coefficient,resolution_g32,1,"[1.08879155, 1.085094, 1.098752, 1.1359069, 1.1104832]",False,wave,0,32,transformer,1.1359069,1.098752,1.085094,101122,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
resolution_g32__wave__coefficient,resolution_g32,1,"[1.07795975, 1.0946128, 1.09411155, 1.07724665, 1.1215473]",False,wave,0,32,looped,1.1215473,1.09411155,1.07724665,34178,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
resolution_g32__wave__coefficient,resolution_g32,1,"[0.6283168, 0.6267159, 0.62084405, 0.62827925, 0.63346655]",False,wave,0,32,fno,0.63346655,0.62827925,0.62084405,210306,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
resolution_g32__wave__correct,resolution_g32,1,"[0.2289244, 0.23925295, 0.2683938, 0.2709586, 0.229664]",False,wave,0,32,physics_uncalibrated,0.2709586,0.23925295,0.2289244,,,correct,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
resolution_g32__wave__correct,resolution_g32,1,"[0.24803365, 0.25017685, 0.2597533, 0.2348138, 0.32764745]",True,wave,3,32,physics_calibrated,0.32764745,0.25017685,0.2348138,,,correct,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
resolution_g32__wave__correct,resolution_g32,1,"[1.11334, 1.11831645, 1.1380291, 1.37494305, 1.1679887]",False,wave,0,32,transformer,1.37494305,1.1380291,1.11334,101122,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
resolution_g32__wave__correct,resolution_g32,1,"[1.0949793, 1.07510595, 1.11073305, 1.0591895, 1.1530467]",False,wave,0,32,looped,1.1530467,1.0949793,1.0591895,34178,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
resolution_g32__wave__correct,resolution_g32,1,"[0.65481915, 0.6532578, 0.6614251, 0.6544611, 0.66890585]",False,wave,0,32,fno,0.66890585,0.65481915,0.6532578,210306,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
resolution_g64__advection_diffusion__coefficient,resolution_g64,1,"[0.21621125, 0.21779915, 0.22130145, 0.23579175, 0.20509605]",False,advection_diffusion,0,64,physics_uncalibrated,0.23579175,0.21779915,0.20509605,,,coefficient,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
resolution_g64__advection_diffusion__coefficient,resolution_g64,1,"[0.22236055, 0.19656425, 0.21701645, 0.20621975, 0.2066334]",True,advection_diffusion,3,64,physics_calibrated,0.22236055,0.2066334,0.19656425,,,coefficient,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
resolution_g64__advection_diffusion__coefficient,resolution_g64,1,"[2.545784, 2.4567388, 2.50993355, 2.46832895, 3.04736085]",False,advection_diffusion,0,64,transformer,3.04736085,2.50993355,2.4567388,100993,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
resolution_g64__advection_diffusion__coefficient,resolution_g64,1,"[2.4617566, 2.40640635, 2.32151365, 2.4711577, 2.39705675]",False,advection_diffusion,0,64,looped,2.4711577,2.40640635,2.32151365,34049,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
resolution_g64__advection_diffusion__coefficient,resolution_g64,1,"[0.82298515, 0.67909215, 0.6858984, 0.71383995, 0.6828984]",False,advection_diffusion,0,64,fno,0.82298515,0.6858984,0.67909215,209985,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
