stage,grid,family,prior,kind,arm,split,horizon,n_seeds,n_trajectories,mean_nmse,ci95_low,ci95_high,normalized_rmse,mean_training_validation_seconds,fixed_choice_setup_train_bank_seconds,median_inference_ms_per_step
development,32,advection_diffusion,coefficient,transformer,iid,test,96,6,64,0.005758860334432934,0.0043696217719004175,0.007376894809139263,0.07588715526644106,72.77893490980689,74.14889250090346,1.5341021004132926
development,32,advection_diffusion,coefficient,transformer,iid,ood,64,6,64,1.1793981179517015,0.7881017941142573,1.5888259536696354,1.086000975115447,72.77893490980689,74.14889250090346,1.5341021004132926
development,32,advection_diffusion,coefficient,transformer,iid,ood,96,6,64,1.5023045689203733,0.9013782035687975,2.108402167540774,1.2256853466205646,72.77893490980689,74.14889250090346,1.5341021004132926
development,32,advection_diffusion,coefficient,transformer,none,test,64,6,64,0.0026425709727570155,0.0020381450712597237,0.0033857184055015774,0.05140594297118783,42.78361937085477,42.82592737100398,1.5332015813328326
development,32,advection_diffusion,coefficient,transformer,none,test,96,6,64,0.0038172295540544036,0.002587060556389428,0.005277097870281964,0.06178373211497023,42.78361937085477,42.82592737100398,1.5332015813328326
development,32,advection_diffusion,coefficient,transformer,none,ood,64,6,64,1.1576989852044715,0.8648459136116509,1.5614285212997279,1.0759642118604464,42.78361937085477,42.82592737100398,1.5332015813328326
development,32,advection_diffusion,coefficient,transformer,none,ood,96,6,64,1.462410404479139,0.9755204035780806,2.147544798157053,1.2093016184885965,42.78361937085477,42.82592737100398,1.5332015813328326
development,32,advection_diffusion,coefficient,transformer,response_matched,test,64,6,64,0.005363435797302696,0.004544115339544095,0.00632311131887351,0.07323548181928413,73.23333207556668,74.6032719433618,1.5334005933254957
development,32,advection_diffusion,coefficient,transformer,response_matched,test,96,6,64,0.0070622351911461155,0.006010560983871871,0.00836581477455314,0.08403710603742917,73.23333207556668,74.6032719433618,1.5334005933254957
development,32,advection_diffusion,coefficient,transformer,response_matched,ood,64,6,64,1.2867876219691017,0.8092958110586654,1.7602998942445462,1.1343666170903928,73.23333207556668,74.6032719433618,1.5334005933254957
development,32,advection_diffusion,coefficient,transformer,response_matched,ood,96,6,64,1.6637708274325511,0.9499603746141533,2.359989643725028,1.2898724074235215,73.23333207556668,74.6032719433618,1.5334005933254957
development,32,advection_diffusion,coefficient,transformer,smooth,test,64,6,64,0.005886501893033784,0.004420193408852204,0.007610059322960058,0.07672354197398465,74.02974590542726,75.3994480384669,1.5343170729465783
development,32,advection_diffusion,coefficient,transformer,smooth,test,96,6,64,0.008226187886307714,0.005550117532695433,0.011355517035846132,0.09069833452885293,74.02974590542726,75.3994480384669,1.5343170729465783
development,32,advection_diffusion,coefficient,transformer,smooth,ood,64,6,64,1.1733013756955895,0.8553680810390097,1.5571261004054209,1.0831903690928892,74.02974590542726,75.3994480384669,1.5343170729465783
development,32,advection_diffusion,coefficient,transformer,smooth,ood,96,6,64,1.4754495721238594,0.9596367291513908,2.099251386402526,1.2146808519623002,74.02974590542726,75.3994480384669,1.5343170729465783
development,32,advection_diffusion,correct,fno,iid,test,64,6,64,0.00022707441679326612,0.00017842731138637203,0.0002808615541735876,0.015068988578974573,41.913991620686524,43.329350356090195,1.26599483191967
