family,kind,prior,seed,split,policy,selected_arm,estimated_training_seconds,selected_inference_ms_per_step
advection_diffusion,transformer,coefficient,505,development_lofo,random,none,42.245118658058345,1.533847558312118
advection_diffusion,transformer,coefficient,505,development_lofo,ridge_selector,none,59.50103649077937,1.533847558312118
advection_diffusion,transformer,coefficient,505,development_lofo,full_validation,none,264.68823902634904,1.533847558312118
advection_diffusion,transformer,coefficient,606,development_lofo,always_smooth,smooth,75.01953389914706,1.5326661057770252
advection_diffusion,transformer,coefficient,606,development_lofo,best_fixed,smooth,75.01953389914706,1.5326661057770252
advection_diffusion,transformer,coefficient,606,development_lofo,hand_rule,none,43.90688735479489,1.5341800404712558
advection_diffusion,transformer,coefficient,606,development_lofo,none,none,42.57487831450999,1.5341800404712558
advection_diffusion,transformer,coefficient,606,development_lofo,probe_best,response_matched,88.30881137866527,1.51515060570091
advection_diffusion,transformer,coefficient,606,development_lofo,random,smooth,75.01953389914706,1.5326661057770252
advection_diffusion,transformer,coefficient,606,development_lofo,ridge_selector,none,60.252327451016754,1.5341800404712558
advection_diffusion,transformer,coefficient,606,development_lofo,full_validation,none,262.24188668094575,1.5341800404712558
advection_diffusion,transformer,correct,101,development_lofo,always_smooth,smooth,73.22181793581694,1.5491436002776027
advection_diffusion,transformer,correct,101,development_lofo,best_fixed,smooth,73.22181793581694,1.5491436002776027
advection_diffusion,transformer,correct,101,development_lofo,hand_rule,none,44.38838788168505,1.555694593116641
advection_diffusion,transformer,correct,101,development_lofo,none,none,42.696613057516515,1.555694593116641
advection_diffusion,transformer,correct,101,development_lofo,probe_best,response_matched,87.39538031257689,1.5333750983700156
advection_diffusion,transformer,correct,101,development_lofo,random,response_matched,73.58856444479898,1.5333750983700156
advection_diffusion,transformer,correct,101,development_lofo,ridge_selector,none,60.539211926050484,1.555694593116641
advection_diffusion,transformer,correct,101,development_lofo,full_validation,smooth,261.22601078264415,1.5491436002776027
advection_diffusion,transformer,correct,202,development_lofo,always_smooth,smooth,71.97602698905393,1.5525175957009196
advection_diffusion,transformer,correct,202,development_lofo,best_fixed,smooth,71.97602698905393,1.5525175957009196
advection_diffusion,transformer,correct,202,development_lofo,hand_rule,none,44.69020651327446,1.5474710380658507
advection_diffusion,transformer,correct,202,development_lofo,none,none,43.38095371425152,1.5474710380658507
advection_diffusion,transformer,correct,202,development_lofo,probe_best,response_matched,85.71527811000124,1.5723325312137604
advection_diffusion,transformer,correct,202,development_lofo,random,response_matched,72.11857596598566,1.5723325312137604
advection_diffusion,transformer,correct,202,development_lofo,ridge_selector,none,60.864921398460865,1.5474710380658507
advection_diffusion,transformer,correct,202,development_lofo,full_validation,smooth,258.709562771488,1.5525175957009196
advection_diffusion,transformer,correct,303,development_lofo,always_smooth,smooth,74.58278732653707,1.5602535801008344
advection_diffusion,transformer,correct,303,development_lofo,best_fixed,smooth,74.58278732653707,1.5602535801008344
advection_diffusion,transformer,correct,303,development_lofo,hand_rule,none,42.455087252892554,1.5509616117924452
advection_diffusion,transformer,correct,303,development_lofo,none,none,41.1403342098929,1.5509616117924452
advection_diffusion,transformer,correct,303,development_lofo,probe_best,response_matched,89.42686120048165,1.550903101451695
advection_diffusion,transformer,correct,303,development_lofo,random,response_matched,75.37931936839595,1.550903101451695
advection_diffusion,transformer,correct,303,development_lofo,ridge_selector,none,59.04628969915211,1.5509616117924452
advection_diffusion,transformer,correct,303,development_lofo,full_validation,smooth,262.3175126472488,1.5602535801008344
advection_diffusion,transformer,correct,404,development_lofo,always_smooth,smooth,74.44680787762627,1.5764865558594465
advection_diffusion,transformer,correct,404,development_lofo,best_fixed,smooth,74.44680787762627,1.5764865558594465
advection_diffusion,transformer,correct,404,development_lofo,hand_rule,none,44.93844271125272,1.5510755823925138
advection_diffusion,transformer,correct,404,development_lofo,none,none,43.61380999209359,1.5510755823925138
advection_diffusion,transformer,correct,404,development_lofo,probe_best,response_matched,88.61553494492546,1.5486650401726365
advection_diffusion,transformer,correct,404,development_lofo,random,iid,73.41084665432572,1.578280096873641
advection_diffusion,transformer,correct,404,development_lofo,ridge_selector,none,61.46982946107164,1.5510755823925138
advection_diffusion,transformer,correct,404,development_lofo,full_validation,iid,263.2456888225861,1.578280096873641
advection_diffusion,transformer,correct,505,development_lofo,always_smooth,smooth,74.79550024820492,1.5652030939236283
advection_diffusion,transformer,correct,505,development_lofo,best_fixed,smooth,74.79550024820492,1.5652030939236283
advection_diffusion,transformer,correct,505,development_lofo,hand_rule,none,43.48642537230626,1.5663900878280401
advection_diffusion,transformer,correct,505,development_lofo,none,none,42.1600931356661,1.5663900878280401
advection_diffusion,transformer,correct,505,development_lofo,probe_best,response_matched,89.30332715809345,1.5391780994832516
advection_diffusion,transformer,correct,505,development_lofo,random,smooth,74.79550024820492,1.5652030939236283
advection_diffusion,transformer,correct,505,development_lofo,ridge_selector,none,60.11489834077656,1.5663900878280401
advection_diffusion,transformer,correct,505,development_lofo,full_validation,none,262.3011941104196,1.5663900878280401
advection_diffusion,transformer,correct,606,development_lofo,always_smooth,smooth,76.84483576798812,1.5464951051399112
