family,kind,prior,seed,arm,checkpoint,split,horizon,mean_capped_mse,diverged_trajectories,capped_trajectories,trajectories,parameter_count,inference_ms_per_step
advection_diffusion,fno,coefficient,606,response_matched,validation_best,ood,96,0.05603885579745693,0,0,64,209985,1.2641784502193332
advection_diffusion,fno,coefficient,606,response_matched,final_step,ood,64,0.1247308848894062,0,0,64,209985,
advection_diffusion,fno,coefficient,606,response_matched,final_step,ood,96,2225.339839254984,0,0,64,209985,
advection_diffusion,fno,coefficient,606,smooth,validation_best,test,64,0.002364811293705943,0,0,64,209985,1.2471799505874515
advection_diffusion,fno,coefficient,606,smooth,validation_best,test,96,0.0036727326618166876,0,0,64,209985,1.2471799505874515
advection_diffusion,fno,coefficient,606,smooth,final_step,test,64,0.034365638834389145,0,0,64,209985,
advection_diffusion,fno,coefficient,606,smooth,final_step,test,96,0.05699869512460627,0,0,64,209985,
advection_diffusion,fno,coefficient,606,smooth,validation_best,ood,64,0.0550112412817203,0,0,64,209985,1.2471799505874515
advection_diffusion,fno,coefficient,606,smooth,validation_best,ood,96,0.0848484971803328,0,0,64,209985,1.2471799505874515
advection_diffusion,fno,coefficient,606,smooth,final_step,ood,64,0.039943158939375945,0,0,64,209985,
advection_diffusion,fno,coefficient,606,smooth,final_step,ood,96,0.05820353375123203,0,0,64,209985,
advection_diffusion,fno,correct,101,iid,validation_best,test,64,0.0002859699250271526,0,0,64,209985,1.2418115511536598
advection_diffusion,fno,correct,101,iid,validation_best,test,96,0.00044263512437632313,0,0,64,209985,1.2418115511536598
advection_diffusion,fno,correct,101,iid,final_step,test,64,0.0002859699250271526,0,0,64,209985,
advection_diffusion,fno,correct,101,iid,final_step,test,96,0.00044263512437632313,0,0,64,209985,
advection_diffusion,fno,correct,101,iid,validation_best,ood,64,0.004033651160619378,0,0,64,209985,1.2418115511536598
advection_diffusion,fno,correct,101,iid,validation_best,ood,96,0.00627853349872846,0,0,64,209985,1.2418115511536598
advection_diffusion,fno,correct,101,iid,final_step,ood,64,0.004033651160619378,0,0,64,209985,
advection_diffusion,fno,correct,101,iid,final_step,ood,96,0.00627853349872846,0,0,64,209985,
advection_diffusion,fno,correct,101,none,validation_best,test,64,0.0005190673987746294,0,0,64,209985,1.2663861038163304
advection_diffusion,fno,correct,101,none,validation_best,test,96,0.0008766298792561255,0,0,64,209985,1.2663861038163304
advection_diffusion,fno,correct,101,none,final_step,test,64,0.0024272907796083695,0,0,64,209985,
advection_diffusion,fno,correct,101,none,final_step,test,96,0.004366601276103087,0,0,64,209985,
advection_diffusion,fno,correct,101,none,validation_best,ood,64,0.009138861478738602,0,0,64,209985,1.2663861038163304
advection_diffusion,fno,correct,101,none,validation_best,ood,96,0.013632662475557942,0,0,64,209985,1.2663861038163304
advection_diffusion,fno,correct,101,none,final_step,ood,64,0.019645387104222145,0,0,64,209985,
advection_diffusion,fno,correct,101,none,final_step,ood,96,0.032164732324268044,0,0,64,209985,
advection_diffusion,fno,correct,101,response_matched,validation_best,test,64,0.00015588576066460913,0,0,64,209985,1.2486995896324515
advection_diffusion,fno,correct,101,response_matched,validation_best,test,96,0.00023116843226637465,0,0,64,209985,1.2486995896324515
advection_diffusion,fno,correct,101,response_matched,final_step,test,64,0.005739724196811957,0,0,64,209985,
advection_diffusion,fno,correct,101,response_matched,final_step,test,96,0.010024489769512795,0,0,64,209985,
advection_diffusion,fno,correct,101,response_matched,validation_best,ood,64,0.028567815885823133,0,0,64,209985,1.2486995896324515
advection_diffusion,fno,correct,101,response_matched,validation_best,ood,96,0.04875710037054256,0,0,64,209985,1.2486995896324515
advection_diffusion,fno,correct,101,response_matched,final_step,ood,64,0.06322665862609367,0,0,64,209985,
advection_diffusion,fno,correct,101,response_matched,final_step,ood,96,0.12316918728711884,0,0,64,209985,
advection_diffusion,fno,correct,101,smooth,validation_best,test,64,8.020147330900507e-05,0,0,64,209985,1.2759300414472818
advection_diffusion,fno,correct,101,smooth,validation_best,test,96,0.00011397042298355586,0,0,64,209985,1.2759300414472818
advection_diffusion,fno,correct,101,smooth,final_step,test,64,8.020147330900507e-05,0,0,64,209985,
advection_diffusion,fno,correct,101,smooth,final_step,test,96,0.00011397042298355586,0,0,64,209985,
advection_diffusion,fno,correct,101,smooth,validation_best,ood,64,0.019737438550866515,0,0,64,209985,1.2759300414472818
advection_diffusion,fno,correct,101,smooth,validation_best,ood,96,0.030687238593678872,0,0,64,209985,1.2759300414472818
advection_diffusion,fno,correct,101,smooth,final_step,ood,64,0.019737438550866515,0,0,64,209985,
advection_diffusion,fno,correct,101,smooth,final_step,ood,96,0.030687238593678872,0,0,64,209985,
advection_diffusion,fno,correct,202,iid,validation_best,test,64,0.00021798401358079367,0,0,64,209985,1.283515547402203
advection_diffusion,fno,correct,202,iid,validation_best,test,96,0.00030509365504374775,0,0,64,209985,1.283515547402203
advection_diffusion,fno,correct,202,iid,final_step,test,64,0.0010516688844954825,0,0,64,209985,
advection_diffusion,fno,correct,202,iid,final_step,test,96,0.0016409595302791697,0,0,64,209985,
advection_diffusion,fno,correct,202,iid,validation_best,ood,64,0.030254720805753532,0,0,64,209985,1.283515547402203
advection_diffusion,fno,correct,202,iid,validation_best,ood,96,0.04510434464476247,0,0,64,209985,1.283515547402203
advection_diffusion,fno,correct,202,iid,final_step,ood,64,0.02663243489942646,0,0,64,209985,
advection_diffusion,fno,correct,202,iid,final_step,ood,96,0.038591250789366725,0,0,64,209985,
